student_id,studytime,absences,G1,G2,age,failures,famsup,internet,sex,paid,activities,performance
137,2,0,10,0,17,0,no,no,M,no,no,0
138,1,0,4,0,16,2,yes,yes,F,no,yes,0
139,2,0,14,12,16,1,no,no,M,no,no,1
140,1,0,16,16,15,0,no,yes,F,no,yes,1
141,4,0,7,9,15,0,yes,yes,M,no,no,0
142,1,8,9,9,16,2,yes,yes,M,no,yes,0
143,3,2,9,11,15,0,yes,yes,F,yes,yes,1
144,1,2,14,14,16,0,no,yes,F,no,no,1
145,1,0,5,0,17,3,yes,yes,M,no,no,0
146,2,0,8,11,15,0,yes,yes,F,yes,no,1
147,2,0,6,7,15,3,yes,yes,F,no,no,0
148,2,2,10,11,15,0,yes,yes,F,yes,no,1
149,1,0,7,6,16,0,yes,yes,M,no,no,0
150,1,0,8,9,15,3,no,yes,M,no,no,1
151,1,0,6,5,18,3,no,yes,M,no,no,0
152,1,6,12,13,16,1,no,no,M,no,yes,1
153,3,8,10,10,15,2,yes,yes,F,yes,yes,1
154,1,0,5,0,19,3,yes,yes,M,no,no,0
155,1,0,11,11,17,0,yes,no,F,no,no,1
156,2,2,11,8,15,0,no,no,M,yes,yes,0
157,1,8,16,12,17,0,no,no,M,no,no,1
158,1,6,9,8,18,3,yes,no,F,no,yes,1
159,1,2,17,15,16,0,no,no,M,no,no,1
160,2,4,10,12,16,1,yes,yes,M,yes,no,1
161,1,0,7,6,17,2,no,yes,M,no,yes,0
162,2,6,5,9,15,2,yes,yes,M,no,no,0
163,1,0,7,0,16,1,no,no,M,no,yes,0
164,1,2,10,10,17,0,no,yes,M,no,no,1
165,2,0,5,8,17,3,no,no,M,no,yes,0
166,1,16,12,11,16,1,yes,no,M,no,yes,1
167,2,4,10,10,16,0,no,yes,M,no,no,1
168,2,0,14,15,16,0,no,yes,F,yes,no,1
169,2,0,6,7,16,0,yes,yes,F,yes,no,0
170,2,0,14,14,16,0,yes,yes,F,yes,no,1
171,1,0,6,5,16,2,yes,yes,M,no,yes,0
172,2,2,13,15,16,0,yes,yes,M,yes,yes,1
173,2,0,13,11,17,0,yes,yes,M,yes,yes,1
174,2,0,8,7,16,3,no,yes,F,no,yes,0
175,2,4,10,11,16,0,yes,yes,F,yes,yes,0
176,2,4,10,9,17,0,no,yes,M,yes,yes,0
177,2,2,13,13,16,0,no,yes,F,yes,yes,1
178,2,4,6,5,17,0,no,yes,M,no,yes,0
179,1,10,10,8,16,0,yes,yes,M,no,yes,0
180,2,4,10,10,17,0,yes,yes,M,no,yes,1
181,2,10,9,8,16,0,yes,yes,M,yes,yes,0
182,2,2,12,13,16,0,no,yes,M,yes,yes,1
183,2,0,16,17,17,0,yes,no,F,no,yes,1
184,2,56,9,9,17,0,yes,yes,F,no,yes,0
185,2,14,12,13,16,0,yes,yes,F,yes,no,1
186,2,12,12,12,17,0,yes,yes,M,no,yes,1
187,1,2,11,12,16,0,yes,yes,M,yes,yes,1
188,2,0,15,15,16,0,no,yes,M,yes,yes,1
189,2,6,8,7,17,0,yes,yes,F,no,no,0
190,2,4,8,9,17,0,no,no,M,no,no,1
191,2,10,11,12,16,0,no,yes,F,no,no,1
192,2,0,8,8,17,0,no,yes,F,no,yes,0
193,2,12,7,8,17,0,no,yes,M,yes,yes,0
194,1,8,8,9,16,0,yes,yes,M,no,yes,1
195,1,0,13,14,16,0,no,yes,M,no,no,1
196,2,0,14,15,17,0,no,yes,F,no,yes,1
197,1,4,17,15,17,0,no,yes,M,no,no,1
198,1,8,9,9,16,0,yes,yes,M,yes,yes,1
199,1,24,18,18,17,1,yes,yes,F,no,no,1
200,2,0,9,9,16,0,yes,yes,F,yes,no,1
201,2,2,16,16,16,0,yes,yes,F,no,yes,1
202,2,6,8,10,16,0,yes,no,F,yes,yes,1
203,2,4,9,9,17,0,yes,no,F,yes,no,1
204,1,18,7,6,17,0,yes,yes,F,no,no,0
205,4,6,10,10,16,0,yes,yes,F,yes,yes,1
206,3,28,10,9,17,1,yes,yes,F,yes,no,0
207,2,5,7,7,16,3,yes,yes,F,yes,no,0
208,2,10,11,12,16,0,no,yes,F,yes,yes,1
209,1,6,9,9,16,0,yes,no,F,yes,no,1
210,3,6,7,7,17,0,yes,yes,F,yes,yes,0
211,4,10,8,8,19,0,yes,yes,F,yes,yes,0
212,2,13,12,12,17,0,yes,yes,M,yes,no,1
213,2,0,12,13,16,0,yes,yes,F,yes,no,1
214,2,15,6,7,18,1,yes,yes,M,yes,yes,0
215,1,12,8,10,17,0,yes,no,F,yes,no,1
216,2,2,14,15,17,0,no,yes,F,yes,no,1
217,2,22,6,6,17,2,no,yes,F,yes,no,0
218,2,13,6,6,18,1,yes,yes,M,yes,no,0
219,1,3,7,7,17,0,yes,no,F,yes,no,0
220,3,4,9,10,17,0,yes,yes,F,yes,yes,1
221,2,2,6,6,17,0,yes,yes,F,no,yes,0
222,3,0,6,5,17,1,yes,no,F,no,yes,0
223,2,2,16,16,16,0,no,yes,F,no,no,1
224,2,0,12,13,18,0,yes,yes,M,yes,no,1
225,3,0,13,13,16,0,yes,yes,F,no,yes,1
226,2,16,9,8,18,1,no,yes,F,no,yes,0
227,2,10,16,15,17,0,no,yes,F,no,yes,1
228,2,2,12,11,17,0,yes,yes,M,yes,no,1
229,2,14,10,8,18,0,yes,yes,M,yes,yes,0
230,3,10,12,10,17,0,no,yes,F,no,yes,1
231,2,14,13,13,17,0,no,yes,F,no,yes,1
232,2,4,11,11,17,0,yes,yes,M,yes,yes,1
233,2,14,11,9,17,0,yes,yes,M,no,yes,0
234,2,2,14,13,16,0,yes,yes,M,yes,yes,1
235,2,18,9,7,16,0,yes,yes,M,yes,no,0
236,3,10,11,9,16,0,no,yes,M,no,yes,1
237,2,4,14,13,17,0,no,yes,M,yes,yes,1
238,1,20,13,12,16,0,no,yes,F,no,no,1
239,2,2,13,11,17,0,no,no,F,no,yes,1
240,2,0,7,7,18,1,no,yes,M,no,no,0
241,2,14,12,12,17,0,no,yes,M,no,yes,1
242,2,2,10,11,17,0,yes,yes,M,yes,no,1
243,1,0,6,0,16,0,no,yes,M,no,yes,0
244,1,0,13,12,16,0,no,yes,M,no,yes,1
245,3,0,7,0,18,0,yes,yes,F,yes,no,0
246,1,6,18,18,16,0,no,yes,M,no,no,1
247,1,4,12,12,17,0,no,yes,M,no,no,1
248,1,16,6,8,22,3,no,yes,M,no,no,0
249,2,8,3,5,18,1,yes,yes,M,no,no,0
250,1,0,13,15,16,0,no,yes,M,yes,no,1
251,1,0,6,8,18,1,no,yes,M,no,no,0
252,2,6,7,10,16,0,yes,yes,M,no,no,1
253,1,4,6,9,18,1,no,yes,M,no,no,0
254,1,0,8,9,16,0,no,no,M,no,yes,0
255,1,0,8,12,17,0,no,yes,M,no,no,1
256,1,2,7,9,17,1,yes,yes,M,no,yes,0
257,4,6,14,12,17,0,yes,yes,F,yes,yes,1
258,2,12,11,11,19,0,yes,yes,M,no,no,1
259,2,8,15,14,18,0,no,yes,M,no,yes,1
260,4,0,10,9,17,0,no,yes,F,yes,yes,0
261,2,21,17,18,18,0,yes,yes,F,yes,no,1
262,2,2,8,8,18,0,yes,yes,M,yes,no,0
263,3,1,13,12,18,0,no,no,M,no,yes,1
264,3,4,10,9,17,0,no,no,F,no,yes,0
265,3,0,9,10,18,0,yes,yes,F,yes,yes,0
266,2,13,17,17,18,0,yes,yes,M,yes,yes,1
267,2,2,9,9,17,0,no,yes,M,yes,yes,1
268,2,8,12,10,18,0,no,yes,F,yes,yes,1
269,2,10,10,9,18,0,yes,yes,M,yes,yes,1
270,2,0,6,0,18,0,yes,yes,F,no,no,0
271,2,15,9,9,19,2,yes,yes,F,yes,yes,0
272,4,4,15,14,18,0,yes,yes,F,yes,yes,1
273,2,2,11,11,18,0,yes,no,F,yes,no,1
274,2,2,15,14,17,0,yes,no,M,yes,yes,1
275,2,2,10,10,17,0,yes,yes,F,yes,no,1
276,2,6,12,12,17,0,yes,yes,F,yes,no,1
277,2,75,10,9,18,0,no,yes,F,no,no,0
278,1,22,9,9,18,0,no,yes,M,yes,yes,0
279,2,15,9,8,18,1,yes,yes,F,no,yes,0
280,1,8,10,11,18,0,no,yes,M,yes,yes,1
281,1,30,8,8,17,0,no,yes,M,yes,yes,0
282,1,19,11,9,17,1,no,yes,M,no,no,1
283,4,1,12,12,18,0,yes,no,F,yes,yes,1
284,2,4,8,9,18,0,no,yes,F,no,yes,1
285,2,4,10,9,17,0,yes,yes,F,no,no,1
286,2,2,12,10,17,0,no,yes,M,yes,no,1
287,3,5,18,18,18,0,yes,yes,F,yes,no,1
288,3,6,13,12,17,0,yes,yes,F,yes,no,1
289,3,6,15,14,18,0,no,yes,M,yes,yes,1
290,2,9,15,13,18,0,yes,yes,M,yes,yes,1
291,2,11,12,11,18,0,yes,yes,M,yes,yes,1
292,3,0,15,15,17,0,yes,yes,F,yes,no,1
293,2,12,12,12,18,1,no,yes,F,no,no,1
294,4,6,18,18,17,0,yes,no,F,yes,no,1
295,3,8,14,13,18,0,yes,yes,M,yes,yes,1
296,1,4,14,12,17,0,yes,yes,M,yes,no,1
297,2,0,10,9,19,0,yes,yes,F,yes,yes,0
298,2,10,10,8,18,0,yes,yes,F,yes,no,0
299,4,0,14,13,18,0,yes,yes,F,yes,no,1
300,1,5,16,15,18,0,yes,yes,M,yes,no,1
301,2,14,12,10,18,0,yes,yes,F,no,no,1
302,1,0,11,11,17,0,no,yes,M,yes,no,1
303,3,0,15,12,17,0,yes,yes,F,yes,no,1
304,4,0,17,17,17,0,yes,yes,F,yes,yes,1
305,2,20,15,14,19,1,yes,yes,M,no,yes,1
306,2,8,14,12,18,1,yes,yes,F,yes,yes,1
307,1,0,17,18,20,0,no,no,M,no,yes,1
308,1,38,8,9,19,1,yes,yes,M,yes,no,0
309,2,0,15,12,19,1,no,no,M,no,yes,1
310,2,18,12,10,19,1,yes,yes,F,no,yes,1
311,2,0,9,9,19,1,no,no,F,no,yes,0
312,2,20,14,12,19,0,yes,yes,F,no,no,1
313,2,3,13,11,19,1,no,yes,M,no,no,1
314,2,22,13,10,19,1,yes,yes,F,yes,no,1
315,3,14,15,13,19,2,no,yes,F,no,no,1
316,3,40,13,11,19,1,no,yes,F,no,no,1
317,2,0,8,8,18,0,yes,yes,F,yes,yes,0
318,3,9,9,10,18,0,yes,yes,F,yes,yes,0
319,3,0,11,11,17,0,yes,yes,F,yes,yes,1
320,2,2,11,11,18,0,yes,yes,F,yes,no,1
321,2,23,13,13,17,0,yes,yes,F,yes,no,1
322,2,12,11,9,17,0,yes,no,F,no,no,0
323,3,3,11,11,17,0,yes,yes,F,yes,yes,1
324,3,1,12,14,17,0,yes,yes,F,no,no,1
325,3,0,16,15,17,0,no,yes,F,no,no,1
326,3,3,9,12,18,0,no,yes,M,no,yes,1
327,1,3,14,15,17,0,no,yes,M,no,yes,1
328,1,8,11,10,17,0,yes,yes,M,no,no,1
329,3,7,10,9,17,0,yes,yes,F,yes,yes,0
330,3,4,14,14,17,0,yes,yes,F,yes,no,1
331,4,2,9,8,18,0,yes,yes,M,no,yes,0
332,3,7,12,14,17,0,yes,yes,F,no,no,1
333,2,0,7,0,18,0,no,yes,F,no,yes,0
334,2,0,8,8,18,0,no,yes,F,no,yes,0
335,4,0,10,9,18,0,no,no,F,no,yes,0
336,3,16,16,15,17,0,no,yes,F,no,no,1
337,3,12,14,13,19,1,no,no,F,yes,no,1
338,2,0,7,8,17,0,yes,yes,F,yes,no,0
339,4,7,16,15,18,0,yes,yes,F,no,no,1
340,2,4,9,10,17,0,yes,yes,F,yes,no,1
341,3,4,11,12,19,1,no,yes,F,yes,yes,1
342,2,0,10,10,18,1,yes,yes,M,no,yes,0
343,2,11,16,15,18,0,no,yes,M,no,yes,1
344,2,0,9,8,17,1,yes,yes,F,no,no,0
345,3,4,11,10,18,0,yes,yes,F,no,no,1
346,3,7,13,13,18,0,no,yes,F,no,no,1
347,3,9,16,15,18,0,no,yes,M,no,no,1
348,3,0,10,10,18,0,yes,yes,M,yes,no,0
349,3,0,13,15,17,0,yes,yes,F,yes,yes,1
350,1,10,11,13,18,1,yes,yes,M,no,no,1
351,2,8,8,7,19,3,no,yes,M,no,no,0
352,2,2,13,13,17,0,yes,yes,M,yes,no,1
353,1,7,8,7,18,1,no,yes,M,no,no,0
354,1,4,8,8,19,1,yes,yes,M,no,no,0
355,2,4,13,11,17,0,yes,yes,M,yes,yes,1
356,2,0,10,9,18,0,yes,no,F,no,no,0
357,2,4,12,13,17,0,yes,yes,F,yes,yes,1
358,2,2,12,12,17,0,no,no,F,no,no,1
359,1,4,10,10,18,0,no,yes,M,no,no,1
360,3,0,18,16,18,0,no,yes,F,no,no,1
361,2,0,13,13,18,0,no,no,F,no,no,1
362,2,2,13,12,18,1,no,no,M,no,yes,1
363,2,0,11,11,18,0,yes,yes,F,no,no,1
364,2,0,16,15,17,0,yes,yes,F,yes,yes,1
365,2,0,12,11,17,0,no,no,F,no,no,1
366,2,4,10,10,18,0,yes,no,M,yes,no,1
367,3,0,13,13,18,0,no,yes,M,yes,no,1
368,1,0,7,6,17,1,yes,yes,F,yes,no,0
369,1,0,11,10,18,0,yes,yes,F,yes,no,1
370,2,10,14,12,18,0,yes,yes,F,yes,no,1
371,2,4,7,7,19,2,no,no,F,no,yes,0
372,1,3,14,12,18,0,yes,yes,M,yes,yes,1
373,3,8,13,11,17,0,no,no,F,no,yes,1
374,1,14,6,5,17,0,no,yes,F,no,yes,0
375,3,0,19,18,18,0,no,yes,F,no,no,1
376,3,2,8,8,18,0,no,yes,F,no,no,1
377,3,4,15,14,20,2,yes,yes,F,yes,no,1
378,2,4,8,9,18,0,no,yes,F,yes,yes,1
379,2,0,15,15,18,0,no,yes,F,yes,no,1
380,2,17,10,10,17,0,yes,yes,F,yes,yes,1
381,2,4,15,14,18,0,no,yes,M,yes,yes,1
382,1,5,7,6,18,0,no,yes,M,no,yes,0
383,2,2,11,11,17,0,no,yes,M,no,yes,1
384,1,0,6,5,19,1,no,no,M,no,no,0
385,1,14,6,5,18,1,no,no,M,yes,no,0
386,3,2,10,9,18,0,no,no,F,yes,no,1
387,1,7,6,5,18,0,yes,yes,F,yes,yes,0
388,3,0,7,5,19,1,no,yes,F,no,yes,0
389,2,0,7,9,18,0,yes,yes,F,yes,no,0
390,2,0,6,5,18,1,no,no,F,no,yes,0
391,2,11,9,9,20,2,yes,no,M,yes,no,0
392,1,3,14,16,17,0,no,yes,M,no,no,1
393,1,3,10,8,21,3,no,no,M,no,no,0
394,1,0,11,12,18,0,no,yes,M,no,no,1
395,1,5,8,9,19,0,no,yes,M,no,no,0
